id,codigo,name,codigo_afip,name_afip,aporte_sipa,contrib_sipa,aporte_inssjp,contrib_inssjp,aporte_os,contrib_os,aporte_fsr,contrib_fsr,contrib_aaff,contrib_fne,contrib_lrt,aporte_diferencial,aporte_especial
lsd_concepto_506,506,VACACIONES NO GOZADAS 2019,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_562,562,VACACIONES NO GOZADAS 2021,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_535,535,COMP.POR REFRIGERIO-SOEVA/21,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_560,560,SAC no rem Acuerdo UOM 04/21,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_559,559,ASIG NO REM AC. ASIM ADIM AFAC CAM 04/21,550000,Importes no remunerativos especiales,0,0,0,0,0,0,0,0,0,0,1,0,0
lsd_concepto_568,568,SUBSIDIO POR FALLECIMIENTO DE FAMILIAR,551000,Importes no remunerativos especiales - De uso libre,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_564,564,BONO DECRETO 841/2022,560005,Asign. No remunerativa Dec 841/2022,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_526,526,ASIG. NO REM DECRETO 438/23,560006,AsignaciÃÂ³n No Remunerativa Dec. 438/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_599,599,Redondeo,799999,Redondeo (No Remunerativo),0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_598,598,REDONDEO,799999,Redondeo (No Remunerativo),0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_200,200,Jubilacion 11%,810000,Sistema previsional,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_201,201,Ley 19.032,810001,INSSJyP,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_257,257,SWISS MEDICAL S.A.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_267,267,O.S.N.O.B.I.S,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_297,297,O.S.P.E.L.S.Y.M 1/2 DIA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_296,296,MUTUAL FEDERADA 1/2 DIA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_240,240,BOREAL,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_239,239,BOREAL 1/2 DIA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_290,290,OSEYPDEAA (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_207,207,OSMEDICA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_215,215,MUTUAL AGUA Y ENERGIA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_220,220,OSMEDICA S/RESOL.370/04,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_272,272,O.S.D.E.P.Y.M. 1/2 DIA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_211,211,O.S.E.C.A.C.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_228,228,O.S.P.O.C.E.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_226,226,O. S. TRAB. DE ESTAC. DE SERV.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_263,263,MEDIFE (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_235,235,OSSIMRA (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_264,264,O.S.C.E.A.R.B.A,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_229,229,O.S.P.E.L.S.Y.M.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_279,279,OSPACA (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_282,282,APORTE OBRA SOCIA S/ GRATIF NO RE 2021,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_265,265,SANCOR SALUD,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_255,255,OMINT  (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_261,261,O.S.C.E.P.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_206,206,OSUOMRA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_266,266,OSPSA - SANIDAD,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_252,252,MUTUAL A.Y ENERGIA(EMP1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_212,212,O.S. P.A.C.A.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_256,256,OMINT,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_269,269,OSDEPYME,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_204,204,OSPE,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_289,289,SANCOR (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_223,223,OSSIMRA,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_217,217,MUTUAL AyE RESOL.370/04,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_237,237,OSUOMRA (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_230,230,O.S.P.R.E.R.A.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_253,253,O.S.D.E.,810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_262,262,O.S.E.C.A.C.(EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_238,238,OSMEDICA (EMPLEADO 1/2 DIA),810002,Obra Social,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_232,232,APORTE SOLIDARIO FOEVA,810004,Cuota Sindical,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_227,227,CUOTA SINDICAL ASIMRA   2.5%,810004,Cuota Sindical,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_254,254,CUOTA SINDICAL ASIMRA 3%,810004,Cuota Sindical,0,0,0,0,0,0,0,0,0,0,0,0,0
